item_id,item_name,category,subcategory,description,unit,current_stock,min_threshold,reorder_quantity,unit_cost,preferred_vendor_id,alternative_vendor_ids,last_ordered_date,supplier_part_number,internal_part_number,storage_location,shelf_life_days,criticality,usage_rate_monthly,lead_time_days,quality_grade,certifications,notes
I001,USB-C Cables,Electronics,Cables,High-speed USB-C to USB-C cables 3ft,pieces,15,50,200,12.50,V001,"V002,V003",2025-05-15,TC-USBC-3FT,INT-USB-001,Warehouse-A-R1-S3,365,High,45,3,Grade-A,CE certified,Popular item - reorder frequently
I002,Wireless Mouse,Electronics,Computer Accessories,Ergonomic wireless optical mouse,pieces,8,25,100,25.00,V001,"V002,V006",2025-04-20,WM-ERGO-001,INT-MOUSE-002,Warehouse-A-R2-S1,730,Medium,20,3,Grade-A,FCC certified,Good profit margin
I003,HDMI Adapters,Electronics,Adapters,HDMI to USB-C display adapters,pieces,12,30,150,18.75,V002,"V001,V003",2025-05-10,HDMI-USBC-ADP,INT-ADP-003,Warehouse-A-R1-S5,365,High,35,5,Grade-A,CE/FCC certified,High demand item
I004,Power Banks,Electronics,Power Supplies,10000mAh portable power banks with fast charging,pieces,22,40,100,32.00,V003,"V001,V002",2025-05-01,PB-10K-FC,INT-PWR-004,Warehouse-B-R1-S2,545,Medium,25,7,Grade-A,CE/RoHS certified,Premium pricing
I005,Ethernet Cables,Electronics,Cables,Cat6 ethernet cables 6ft,pieces,35,60,300,8.50,V001,"V004,V005",2025-04-25,ETH-CAT6-6FT,INT-ETH-005,Warehouse-A-R3-S1,365,Medium,50,3,Grade-B,TIA certified,Bulk order item
I006,Laptop Stands,Electronics,Accessories,Adjustable aluminum laptop stands,pieces,18,20,75,45.00,V006,"V001,V002",2025-03-15,LS-ALU-ADJ,INT-STD-006,Warehouse-B-R2-S3,1095,Low,12,4,Grade-A,Quality tested,High margin item
I007,Bluetooth Headphones,Electronics,Audio,Noise-cancelling Bluetooth headphones,pieces,5,15,50,65.00,V006,"V002,V003",2025-05-05,BT-NC-HP,INT-AUD-007,Warehouse-B-R1-S4,730,Medium,18,4,Grade-A,CE/FCC certified,Premium product
I008,USB Hubs,Electronics,Hubs,4-port USB 3.0 hubs,pieces,28,35,120,22.00,V002,"V001,V004",2025-04-30,USB3-HUB-4P,INT-HUB-008,Warehouse-A-R2-S2,365,Medium,30,5,Grade-A,USB-IF certified,Steady demand
I009,Phone Chargers,Electronics,Chargers,Universal fast phone chargers,pieces,42,75,250,15.00,V001,"V004,V005",2025-05-12,FC-UNIV-001,INT-CHG-009,Warehouse-A-R1-S1,365,High,60,3,Grade-B,CE certified,High volume item
I010,Monitor Arms,Electronics,Accessories,Dual monitor mounting arms,pieces,6,12,40,85.00,V006,"V001,V003",2025-03-20,MA-DUAL-001,INT-ARM-010,Warehouse-B-R3-S1,1095,Low,8,4,Grade-A,VESA certified,Specialty item
